NUM     NOME      itp   DI HI M DF HF M      VAZAO
XXX XXXXXXXXXXXX   X    XXxXXxXxXXxXXxX     XXXXXXXXX
120 JAGUARI        1    28      F                  39
120 JAGUARI        1    29      F                  36
120 JAGUARI        1    30      F                  33
120 JAGUARI        1    31      F                  32
120 JAGUARI        1    01      F                  31
121 PARAIBUNA      1    27      F                 122
121 PARAIBUNA      1    28      F                 111
121 PARAIBUNA      1    29      F                  98
121 PARAIBUNA      1    30      F                  85
121 PARAIBUNA      1    31      F                  77
121 PARAIBUNA      1    01      F                  73
121 PARAIBUNA      1    02      F                  69
  6 FURNAS         1    27      F                 665
  6 FURNAS         1    28      F                 626
  6 FURNAS         1    29      F                 593
  6 FURNAS         1    30      F                 558
  6 FURNAS         1    31      F                 521
  6 FURNAS         1    01      F                 494
  6 FURNAS         1    02      F                 476
  7 M. DE MORAES   1    27      F                 108
  7 M. DE MORAES   1    28      F                 102
  7 M. DE MORAES   1    29      F                  96
  7 M. DE MORAES   1    30      F                  90
  7 M. DE MORAES   1    31      F                  84
  7 M. DE MORAES   1    01      F                  83
  7 M. DE MORAES   1    02      F                  79
  8 ESTREITO       1    27      F                  25
  8 ESTREITO       1    28      F                  24
  8 ESTREITO       1    29      F                  22
  8 ESTREITO       1    30      F                  21
  8 ESTREITO       1    31      F                  19
  8 ESTREITO       1    02      F                  18
 12 P. COLOMBIA    1    27      F                 127
 12 P. COLOMBIA    1    28      F                 121
 12 P. COLOMBIA    1    29      F                 115
 12 P. COLOMBIA    1    30      F                 109
 12 P. COLOMBIA    1    31      F                 104
 12 P. COLOMBIA    1    01      F                 102
 12 P. COLOMBIA    1    02      F                  99
 17 MARIMBONDO     1    27      F                 420
 17 MARIMBONDO     1    28      F                 394
 17 MARIMBONDO     1    29      F                 371
 17 MARIMBONDO     1    30      F                 352
 17 MARIMBONDO     1    31      F                 336
 17 MARIMBONDO     1    01      F                 322
 17 MARIMBONDO     1    02      F                 311
 31 ITUMBIARA      1    27      F                 299
 31 ITUMBIARA      1    28      F                 273
 31 ITUMBIARA      1    29      F                 256
 31 ITUMBIARA      1    30      F                 239
 31 ITUMBIARA      1    31      F                 222
 31 ITUMBIARA      1    01      F                 212
 31 ITUMBIARA      1    02      F                 230
 30 CORUMBA I      1    27      F                 276
 30 CORUMBA I      1    28      F                 275
 30 CORUMBA I      1    30      F                 268
 30 CORUMBA I      1    31      F                 267
 30 CORUMBA I      1    01      F                 276
 30 CORUMBA I      1    02      F                 285
251 SERRA MESA     1    27      F                2657
251 SERRA MESA     1    28      F                3094
251 SERRA MESA     1    29      F                3331
251 SERRA MESA     1    30      F                3037
251 SERRA MESA     1    31      F                2650
251 SERRA MESA     1    01      F                2312
251 SERRA MESA     1    02      F                2095
278 MANSO          1    27      F                 163
278 MANSO          1    28      F                 149
278 MANSO          1    29      F                 136
278 MANSO          1    30      F                 128
278 MANSO          1    31      F                 136
278 MANSO          1    01      F                 142
278 MANSO          1    02      F                 140
123 FUNIL          1    27      F                 322
123 FUNIL          1    28      F                 309
123 FUNIL          1    29      F                 295
123 FUNIL          1    30      F                 268
123 FUNIL          1    31      F                 242
123 FUNIL          1    01      F                 227
123 FUNIL          1    02      F                 214
129 SIMPLICIO      1    27      F                 151
129 SIMPLICIO      1    28      F                 142
129 SIMPLICIO      1    29      F                 125
129 SIMPLICIO      1    30      F                 112
129 SIMPLICIO      1    31      F                 108
129 SIMPLICIO      1    01      F                 111
129 SIMPLICIO      1    02      F                 114
 20 BATALHA        1    27      F                  66
 20 BATALHA        1    28      F                  70
 20 BATALHA        1    29      F                  71
 20 BATALHA        1    30      F                  70
 20 BATALHA        1    01      F                  75
 20 BATALHA        1    02      F                  78
287 STO ANTONIO    1    27      F                1350
287 STO ANTONIO    1    28      F                1439
287 STO ANTONIO    1    29      F                1518
287 STO ANTONIO    1    30      F                1600
287 STO ANTONIO    1    31      F                1692
287 STO ANTONIO    1    01      F                1779
287 STO ANTONIO    1    02      F                1873
257 PEIXE ANGIC    1    27      F                1695
257 PEIXE ANGIC    1    28      F                2057
257 PEIXE ANGIC    1    29      F                2201
257 PEIXE ANGIC    1    30      F                2103
257 PEIXE ANGIC    1    31      F                1940
257 PEIXE ANGIC    1    01      F                1767
257 PEIXE ANGIC    1    02      F                1646
122 SANTA BRANCA   1    27      F                  18
122 SANTA BRANCA   1    28      F                  16
122 SANTA BRANCA   1    29      F                  14
122 SANTA BRANCA   1    30      F                  12
122 SANTA BRANCA   1    31      F                  11
122 SANTA BRANCA   1    02      F                  10
124 LAJES          1    27      F                  12
124 LAJES          1    29      F                  10
124 LAJES          1    30      F                   9
130 ILHA POMBOS    1    27      F                  61
130 ILHA POMBOS    1    28      F                  58
130 ILHA POMBOS    1    29      F                  51
130 ILHA POMBOS    1    30      F                  45
130 ILHA POMBOS    1    31      F                  44
130 ILHA POMBOS    1    01      F                  45
130 ILHA POMBOS    1    02      F                  46
185 BARRA BRAUNA   1    27      F                 159
185 BARRA BRAUNA   1    28      F                 144
185 BARRA BRAUNA   1    29      F                 135
185 BARRA BRAUNA   1    30      F                 123
185 BARRA BRAUNA   1    31      F                 115
185 BARRA BRAUNA   1    01      F                 119
185 BARRA BRAUNA   1    02      F                 132
131 NILO PECANHA   1    27      F                   0
133 P. PASSOS      1    27      F                   0
125 STA CECILIA    1    27      F                 157
125 STA CECILIA    1    28      F                 165
125 STA CECILIA    1    29      F                 157
125 STA CECILIA    1    30      F                 151
125 STA CECILIA    1    31      F                 155
180 TOCOS          1    27      F                  25
180 TOCOS          1    28      F                  24
180 TOCOS          1    29      F                  21
180 TOCOS          1    30      F                  20
180 TOCOS          1    31      F                  19
180 TOCOS          1    01      F                  20
180 TOCOS          1    02      F                  19
181 SANTANA        1    27      F                  12
181 SANTANA        1    28      F                  11
181 SANTANA        1    29      F                  10
181 SANTANA        1    30      F                   9
182 VIGARIO        1    27      F                   0
147 FONTES AB      1    27      F                   0
146 FONTES C       1    27      F                   0
107 EDGARD SOUZA   1    27      F                 220
107 EDGARD SOUZA   1    28      F                 160
107 EDGARD SOUZA   1    29      F                 130
107 EDGARD SOUZA   1    30      F                  99
107 EDGARD SOUZA   1    31      F                  80
107 EDGARD SOUZA   1    01      F                  79
107 EDGARD SOUZA   1    02      F                  85
108 TRAICAO        1    27      F                   0
109 PEDREIRA       1    27      F                   0
117 GUARAPIRANGA   1    27      F                  42
117 GUARAPIRANGA   1    28      F                  31
117 GUARAPIRANGA   1    29      F                  25
117 GUARAPIRANGA   1    30      F                  19
117 GUARAPIRANGA   1    31      F                  15
117 GUARAPIRANGA   1    02      F                  16
118 BILLINGS       1    27      F                  52
118 BILLINGS       1    28      F                  37
118 BILLINGS       1    29      F                  30
118 BILLINGS       1    30      F                  23
118 BILLINGS       1    31      F                  19
118 BILLINGS       1    01      F                  18
118 BILLINGS       1    02      F                  20
119 HENRY BORDEN   1    27      F                   0
 32 CACH.DOURADA   1    27      F                  43
 32 CACH.DOURADA   1    28      F                  41
 32 CACH.DOURADA   1    29      F                  38
 32 CACH.DOURADA   1    30      F                  35
 32 CACH.DOURADA   1    31      F                  34
 32 CACH.DOURADA   1    01      F                  37
 11 VOLTA GRANDE   1    27      F                  66
 11 VOLTA GRANDE   1    28      F                  62
 11 VOLTA GRANDE   1    29      F                  58
 11 VOLTA GRANDE   1    30      F                  55
 11 VOLTA GRANDE   1    31      F                  51
 11 VOLTA GRANDE   1    01      F                  50
 11 VOLTA GRANDE   1    02      F                  48
135 P. ESTRELA     1    27      F                   0
139 CANDONGA       1    27      F                 188
